A!NET_NAME!PIN_NUMBER_SORT!CLASS!REFDES!SYM_TYPE!SYM_NAME!SYM_X!SYM_Y!SYM_ROTATE!SYM_MIRROR!PIN_NAME!PIN_NUMBER!PIN_X!PIN_Y!PIN_EDITED!PAD_STACK_NAME!VIA_X!VIA_Y!PIN_ROTATION!TEST_POINT!NET_PROBE_NUMBER!
J!E:/design/ROHM/13_Archange-BU90004GWZ-E2EVK-101/working/20140212/gerber/extracta/163/BU90004GWZ-E2EVK-101_BRD_REV00_2014-02-12.brd!Wed Feb 12 16:27:52 2014!-17655.559!-26982.181!36344.441!18819.189!0.001!mils!BU90004GWZ-E2EVK-101_SCH_REV00_2014-02-12!62.000000 mil!2!UP TO DATE!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1550.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1450.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1350.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1250.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1150.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1050.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!950.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!850.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!750.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!650.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!550.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!450.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!350.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!250.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!150.000!2245.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!150.000!2145.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1550.000!2145.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1650.000!2145.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!150.000!2045.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1550.000!2045.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1650.000!2045.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!150.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!850.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!950.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1050.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1150.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1250.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1350.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1450.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1550.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1650.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!150.000!1845.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1650.000!1845.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1750.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1825.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!-50.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!-125.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!50.000!1945.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1750.000!1845.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1850.000!1845.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1950.000!1845.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!50.000!1845.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!-50.000!1845.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!-125.000!1845.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!-125.000!1745.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!-50.000!1745.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!50.000!1745.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!150.000!1745.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1750.000!1745.000!!!!
S!GND!!VIA CLASS!!!!!!!!!!!!!VIA_D012C024!1650.000!1745.000!!!!
